ESPANOL	TRADUCTOR	VOZ
Diente	Ts’ìi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/OT_Ixtenco_Esperanza_Yonca_gel_diente.mp3
Diez	ʼRé̠ tʼa	URL
Dile	Xíphi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/OT_IXT_TLAX_Esperanza%20Yonca_dile.mp3
Dinero	T’òpho	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/dinero.mp3
Dos	Yóho	URL
Durazno	Nǎxnu	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/durazno.mp3
Enojo	Kwé̠	URL
Ensartar	Phòti	URL
Envolver	Pòtsʼi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/envolver.mp3
Epazote	Hogan’ä̀i	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/epazote.mp3
Escalera	Nirěde	URL
Escalón	Réndo	URL
Peine	Ntsháni	URL
Escoba	ʼMàxi	URL
Escribir	ʼYò’t’i	URL
Escupir	Tsògi	URL
Espejo	Nihyë̀i	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/espejo.mp3
Espina	ʼMíni	URL
Espuma	Phú̠gi	URL
Estafiate	Méphe	URL
Estornudar	Hètsʼe	URL
Estrella	Tsó̱	URL
Excremento	Phǒho	URL
Exprimir	Tè̱'mi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/exprimir.mp3
Falda	(enagua) Ngó̠de	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/falda%2C%20enagua.mp3
gabán	(cotón) mè̱'mi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/gab%C3%A1n%2Ccot%C3%B3n.mp3
Flor	Dò̠ni	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/flor.mp3
Frente	Dë́	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/OT_IXT_TLAX_Esperanza_Yonca_higado.mp3
Frijol	Tsʼụ̌nkhụ	URL
Frío	Tsé̠	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/fr%C3%ADo.mp3
Fuente	Zàbi	URL
cotón	mẹ̀'mi	URL
Gallina	Tsǚʼni	URL
Gallo	Tá’ni	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/gallo.mp3
Garganta	ʼYù̠ga	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/garganta.mp3
Gato	Mǐxtu	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/gato.mp3
Gavilán	Pè̱nts’u̱	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/gavil%C3%A1n.mp3
Grande	Ndò̠te	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/grande.mp3
Grano	Tshä́xi	URL
Grueso	Pǐdi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/grueso.mp3
Habas	ʼǍwxi	URL
Hamaca	Xḯt’a	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/hamaca.mp3
Hermana	(dicho por mujer)Zíkü	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/hermana.mp3
Hermana	(dicho por hombre)Nkhǘ	URL
Hermano	Dó̠t’e	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/hermano.mp3
Hierba	K’àni	URL
Hígado	Yǎ	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/h%C3%ADgado.mp3
Hipo	Kʼú̠ tʼi	URL
Honda	Ntʼè̠ ndo	URL
Hongo	Khó	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/hongo.mp3
Hormiga	Xä́khu̱	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/hormiga.mp3
Hoyo	Hyë̀i	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/hoyo.mp3
Hoz	Tʼè̠xu̠	URL
Huarache	Zé̠xthi	URL
Huauzontle	Nyä̌kʼü	URL
Hueso	Dó’yo	URL
Huevo	Dǒ’ni	URL
Iglesia	Níkhä	URL
tripas	Xèpho	URL
Jaltomate	Bépe	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/jaltomate.mp3
Jarro	Sǎru	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/jarro.mp3
Jícara	Xímo	URL
Juguete	Ntʼěni	URL
La arena	Rà’mòmü	URL
La cabeza	Ràyä́	url
La casa	Rà ngǚ	URL
La ceniza	Rà ’mòspi	URL
La escoba	Rà ’màxi	URL
La estrella	Rà tso̱ ́	URL
La flor	Rà do̱ ̀ni	URL
La gallina	Rà tsǚ’ni	URL
La lluvia	Rà ’yě	URL
La mano	Rà ’yé̱	URL
La naranja	Rà ’ǐxi	URL
La pulga	Rà ’ó	URL
Pus	’yá	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/pus.mp3
La raíz	Rà ’yǔ̱	URL
La sal	Rà ’ǘ	URL
Lágrima	Gído	URL
Lana	Bò̠xo	URL
Lavadero	Mʼèni	URL
Lazo	Xä́hi	URL
Lengua	Khä̀ne	URL
Lenteja	Ndé̠ ro̠ xi	URL
Liebre	Dé	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/liebre.mp3
Liendre	Bò̠tʼo	URL
Lombriz	Mé̱tse̱	URL
Lumbre	Tsìbi	URL
Luna	Zä̀nä	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/luna.mp3
Llano	ʼMátha	URL
Llave	Ntshóki	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/llave.mp3
Llueve	Din’wä̀i	URL
Lluvia	ʼYě	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/lluvia.mp3
Madrina	Měkhä	URL
Maguey	ʼWàda	URL
Maíz	Dè̠thä	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/ma%C3%ADz.mp3
Mano	ʼYé̠	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/mano.mp3
Masa	Khù̱ni	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/masa.mp3
Mazorca	Thä́	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/mazorca.mp3
Mecapal	Ndë́	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/mecapal.mp3
Mercado	Nitòi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/mercado%2Cplaza.mp3
Metate	Nikhǔ̱ni	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/metate.mp3
Milpa	Thǘhü	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/milpa.mp3
Molcajete	Màndo	URL
Moler	Kù̠ni	URL
Mollera	Ndë́hi	URL
Mosca	Gǐnʼwë	URL
Mudo	Góne	URL
Muela	Tsʼáphi	URL
Mujer	Xítsu	URL
Mula	Pháni	URL
Naranja	ʼǏxi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/naranja%2C%20agrio.mp3
Nariz	Xìyü	URL
Negro	Mbòi	URL
Nido	ʼMáphi	URL
Nieto	ʼMé̱to	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/nieto.mp3
Niño	Chígametsi	URL
Nixtamal	Tshǜni	URL
Noche	Xǜi	URL
Nopal	Xä́t’ä	URL
Nube	Gǜi	URL
Nuevo	ʼRà’yo	URL
Ocho	Hyä́to	URL
Ojo	Dó	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/ojo.mp3
Olla	Ts’èe	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/olla.mp3
Ombligo	Tsʼòi	URL
Oreja	Gǘ	URL
Pájaro	Ntsʼú̠	URL
Pala	Bǎra	URL
Pan	Hměmpho̠	URL
Pañal	M’ánt’i	URL
Papa	Kʼápüxü	URL
Papel	Tsù̠ kwä	URL
Patio	Thí	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/patio.mp3
Pato	Bǎdu	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/pato.mp3
Pelota	Nǘni	URL
Perrito	Chikʼyó	URL
Perro	ʼYó	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/perro.mp3
Pestaña	Xído	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/pesta%C3%B1a.mp3
Petate	Xḯphi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/petate.mp3
Pez	Hwä́	URL
Pie	Gwá	URL
Piedra	Dó	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/piedra.mp3
Pierna	Xǐnthe	URL
Pinole	ʼMótʼi	URL
Pizcalón	Nthóki	URL
Pizcar	Tshǒpho	URL
Plato	Mánza	URL
Pollito	Chikʼó̱ni	URL
Pollo	ʼÓ̲ni	Damaʼọ́ni
Jagüey	Xáwe̠	URL
Pozo	Khù̱ts’i	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/pozo.mp3
Prementina (sabia)	Bópo	URL
Pueblo	Hníni	URL
Puerco	Bǐzu	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/puerco.mp3
Puerta	Nikhǘtʼi	URL
Pulque	Tshë̀i	URL
Pulsera	Mphòʼye̠	URL
Quelite	Gǐnk’ani	URL
Quelite de trigo	K’ǘkha	URL
Quintonil	Xìtha	URL
Rama	ʼYé̠za	URL
Rascar	Tàki	URL
Rebozo	Bǎyu	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/rebozo.mp3
Redondo	(ovalado)Ntsànt’i	URL
Refresco	ʼǙthe	URL
rayo	Hwè̠i	URL
Risa	Théde	URL
Robar	Pë́	URL
Rodilla	Yä̀hmü	URL
Ropa	Zé̠xo	URL
Sabroso	Kǔ̠hi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/sabroso.mp3
Sacerdote	Mòkhä	URL
Sahumerio	Nthä́	URL
Sal	ʼǙ	URL
Saliva	Khìni	URL
Sangre	Khí	URL
Segar	Hyě̠tʼi	URL
Seis	ʼRáto	URL
Señorita	Hmǜte	URL
Siete	Yòto	URL
Sol	Hyádi	URL
Sombrero	Phụ̀i	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/sombrero.mp3
Soñar	ʼWḯ	URL
Sordo	Tú̱ngü	URL
Su arena	Rá ’mòmü	URL
Su cabeza	Rá yä́	URL
Su casa	Rá ngǚ	URL
Su ceniza	Rá ’mòspi	URL
escoba	’màxi	URL
Su gallina	Rá tsǚ’ni	URL
Su metate	Rá nikhǔ̱ ni	URL
Su ojo	Rá dó	URL
Su pinole	Rá ’mót’i	URL
Surco	Thé	URL
Tamal	Thë̀di	URL
Búho	(tecolote) Túkúru	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/tecolote.mp3
Tejer	Pé	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/tejer.mp3
Tejocote	Pé̠ ni	URL
Termina	Kwhádi	URL
Texate	Gitshǐphi	URL
Tierra	Hòi	URL
Tío	ʼWě	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/t%C3%ADo.mp3
Tizne	Nhyàdi	URL
Tlacote	Thḯ	URL
Tlacuache	Däzǔ̠	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/tlacuache.mp3
Tlachiquero	ʼYǎphi	URL
Tlecuil	Gǒspi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/tlecuil.mp3
fogón	Gǒspi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/tlecuil.mp3
Todo	Gó’t’itho	URL
Tortilla	Hmé	URL
Tos	Thèhe	URL
Trabajo	ʼMè̠phi	URL
Tres	Hyǘ	URL
Trigo	T'é̠i	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/trigo.mp3
Tuna	Kä́hä	URL
Tuza	Tsù̠bi	URL
Vara	Tʼǒ	URL
Veinte	ʼRóte	URL
Vela	Tǔ̠ di	URL
Verde	Nkʼàngi	URL
Víbora	Kʼë̀yä	URL
Vidrio	Dòxito	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/vidrio.mp3
Viento	(aire) Ndä́hi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/viento.mp3
Voz	Hyä́	URL
Ya amaneció (aclarando)	Bi hyátsʼi	URL
Yunta	Yǔnda	URL
Zacate	Xìthä(de milpa)	URL
Zapote	Mǚza	URL
bigote	Khú̱ni	URL
bordar	wẹ́di	https://drive.google.com/uc?export=download&id=12YSbrl5Bc_DwWJ9BycaoShEiIvmAP4hU
Buenos días	texkihyä̌ts'i	https://drive.google.com/uc?export=download&id=12YSbrl5Bc_DwWJ9BycaoShEiIvmAP4hU
Guajolote	Dama'ó̲ni	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/guajolote.mp3
Raíz	’yǔ̠	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/Ra%C3%ADz.mp3
Acahual	Xó	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/acahual.mp3
Agua	Déhe	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/agua.mp3
Totola	Hók’ani	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/totola.mp3
Mamá	(nǎna)o(ǜma)	https://github.com/damaonihokani-cyber/voz-Ixtenco/raw/main/mam%C3%A1.mp3
Plaza	Nitòi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/mercado%2Cplaza.mp3
